NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Yawar,Hassan,YawaR,pk,402,2,630136.60,51
Min Soo,Kang,Solar,kr,403,34,629945.00,752
Markus,Kjærbye,Kjaerbye,dk,404,20,626896.93,122
Christopher,Alesund,GeT_RiGhT,se,405,18,626471.76,235
Alexander,Schlik,Vadeal,de,406,7,625695.30,120
Kang,Ye,BuRan,cn,407,96,625517.83,13
Pinyan,Zhou,ZpYan1,cn,408,97,625229.63,50
Jarosław,Jarząbkowski,pashaBiceps,pl,409,7,625065.15,169
Ziwei,Li,Yisheng,cn,410,98,624112.52,11
Martin,Lund,stavn,dk,388,18,641787.63,97
Preston,Sanderson,Prestinni,us,411,61,622473.43,40
Liuyi,Wang,Baolan,cn,412,99,619658.35,17
Ben,Peterson,Edgey,us,413,62,616688.15,137
Yong Min,Kim,Febby,kr,414,35,616244.35,46
Jiawei,Yang,Jwei,cn,415,100,615697.77,36
Hajime,Taniguchi,Tokido,jp,416,5,613805.68,111
Aleksei,Golubev,Qikert,kz,417,2,613616.63,110
Dillon,Price,Attach,us,418,63,612273.35,108
Jean Pierre,Gonzales,Chris Luck,pe,420,3,611364.54,50
Paulo,Henrique Chaves,PHzin,br,421,5,610235.02,33
-,-,Mugi,jp,422,6,608918.88,25
Christiaan,de Jong,chrisJ,nl,423,5,608724.32,152
Xiaojun,Shuang,GuiQi,cn,424,101,607392.87,8
Tengfei,Ma,ShenRen,cn,425,102,606346.53,13
Bryan,Zhelyazkov,Apathy,us,426,64,605618.93,76
Yongzheng,He,Inflame,cn,428,103,601854.15,26
Ding,Zhuo,Knight,cn,429,104,599936.39,25
Feichi,Luo,Ferrari_430,cn,430,105,597877.06,72
Longhui,Jiang,FengJie,cn,431,106,597404.53,8
Ludvig,Brolin,Brollan,se,432,19,597025.84,110
Zhenning,Gao,Ning,cn,433,107,596966.58,21
Noah,Pyo,MP,kr,434,36,592676.77,47
Yanwen,Wang,HS,cn,435,108,592619.22,42
Steven,Vargas,StingeR,pe,436,4,592510.78,74
Sunyeob,Kim,QO,kr,438,37,591322.79,41
Joshua,Butler,Cold,us,439,66,590175.00,57
İsmailсan,Dörtkardeş,XANTARES,tr,427,1,605060.93,174
Alex,Sunderhaft,Neeb,us,440,67,589720.96,227
Landon,Konerman,BeastMode,us,437,65,591424.35,87
Jiahao,Bai,369,cn,441,109,588115.40,23
Enzo,Grondein,Seikoo,fr,442,13,587530.18,62
Chong Xin,Khoo,Ohaiyo,my,443,9,586016.52,71
Luka,Perković,PerkZ,hr,444,1,585736.60,33
Yanis,Champenois,Alpha54,fr,445,14,585503.21,97
Jacob,Knapman,JKnaps,ca,446,15,585413.45,159
Cameron,McKilligan,Cammy,gb,448,10,584150.00,44
Reed,Wilen,Chicago,us,447,68,584540.38,125
Paweł,Bieliński,byali,pl,449,8,583489.51,137
Doh Woo,Kim,Classic,kr,450,38,582687.26,318
Jiajun,Meng,DaShuai,cn,451,110,582651.76,3
Senming,Shi,Ming,cn,452,111,582384.84,27
Shengqqin,Xia,Hurt,cn,453,112,581507.86,19
Thijs,Molendijk,Thijs,nl,454,6,579189.66,95
Rafli Fathur,Rahman,Mikoto,id,455,2,577522.71,59
Hau-Hsuan,Hung,Karsa,tw,456,5,575459.59,36
Jae Won,Lee,LIP,kr,457,39,573689.79,27
Myroslav,Plakhotia,zont1x,ua,419,12,612263.47,48
Nam Joo,Kwon,Striker,kr,458,40,571305.19,15
Worawit,Mekchai,Q,th,459,3,567507.34,58
Zhiyong,Wang,old chicken,cn,460,113,567040.77,47
Amer,Zulbeari,Pred,au,461,6,566830.00,56
Daniel,Walsh,Dubs,us,462,69,566279.99,91
Yitao,Zhou,QianC,cn,463,114,563959.13,16
Cédric,Guipouy,RpK,fr,464,15,562227.09,164
