PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,LastTournamentYear,GameId,GameName,Top10PctEarningsRatio
5290,2011-08-28,2023-08-25,11.991786447638603,605618.93,Apathy,Inactive,2011,2023,FPS,2011,76,2023,364,Call of Duty: Advanced Warfare,0.8128060745681824
5433,2013-04-28,2025-03-23,11.901437371663244,384019.67,STYKO,Ongoing,2013,2025,FPS,2013,133,2025,245,Counter-Strike: Global Offensive,0.5321595611313519
5472,2007-06-23,2025-03-23,17.749486652977414,415090.87,oskar,Ongoing,2007,2025,FPS,2007,147,2025,245,Counter-Strike: Global Offensive,0.6118906544395708
5483,2013-02-23,2025-05-04,12.191649555099247,1819816.24,rain,Ongoing,2013,2025,FPS,2013,181,2025,245,Counter-Strike: Global Offensive,0.5737370988443834
5499,2013-07-07,2022-09-18,9.19917864476386,331580.05,suNny,Inactive,2013,2022,FPS,2013,95,2022,245,Counter-Strike: Global Offensive,0.6169565601218598
5513,2012-07-28,2025-03-16,12.632443531827516,1666325.57,Serral,Ongoing,2012,2025,RTS,2012,183,2025,151,StarCraft II,0.6477637145225682
5783,2012-05-27,2025-05-04,12.936344969199178,1636760.15,NiKo,Ongoing,2012,2025,FPS,2012,185,2025,245,Counter-Strike: Global Offensive,0.5660785471145813
6013,2014-01-18,2024-08-30,10.614647501711156,664528.8,Rookie,Ongoing,2014,2024,MOBA,2014,33,2024,164,League of Legends,0.6993278699758564
6132,2013-06-01,2025-02-23,11.731690622861054,381307.39,Zven,Ongoing,2013,2025,MOBA,2013,43,2025,164,League of Legends,0.3648177039207981
6366,2009-11-01,2025-05-18,15.542778918548938,445064.17,JaCkz,Ongoing,2009,2025,FPS,2009,119,2025,245,Counter-Strike: Global Offensive,0.5960607351887675
6466,2014-01-25,2024-12-08,10.869267624914443,959072.51,Duke,Ongoing,2014,2024,MOBA,2014,28,2024,164,League of Legends,0.7784950990856685
7517,2014-03-08,2022-11-17,8.695414099931554,579189.66,Thijs,Inactive,2014,2022,Card Game,2014,95,2022,328,Hearthstone,0.7342783167402809
7723,2014-03-30,2024-06-20,10.225872689938399,445574.0,Classic,Ongoing,2014,2024,FPS,2014,105,2024,364,Call of Duty: Advanced Warfare,0.599426784423388
7789,2014-01-12,2023-03-04,9.138945927446954,325177.35,mixwell,Inactive,2014,2023,FPS,2014,106,2023,245,Counter-Strike: Global Offensive,0.5594802920169105
7999,2013-08-03,2025-03-16,11.616700889801505,484530.4,Cure,Ongoing,2013,2025,RTS,2013,493,2025,151,StarCraft II,0.8171171294023332
8168,2012-08-19,2024-03-25,11.597535934291582,1041856.83,flamie,Ongoing,2012,2024,FPS,2012,141,2024,245,Counter-Strike: Global Offensive,0.5939365316272048
8169,2014-04-13,2025-01-06,10.735112936344969,1722255.32,s1mple,Ongoing,2014,2025,FPS,2014,153,2025,245,Counter-Strike: Global Offensive,0.618599742428642
8635,2013-04-21,2025-05-11,12.054757015742641,1108586.23,nitr0,Ongoing,2013,2025,FPS,2013,156,2025,245,Counter-Strike: Global Offensive,0.5343547914147875
8645,2014-05-04,2024-10-29,10.48870636550308,1015583.4,Slasher,Ongoing,2014,2024,FPS,2014,103,2024,364,Call of Duty: Advanced Warfare,0.6299831475659771
